0	21
40	44
44	45
16	27
34	38
25	43
28	42
27	29
12	45
18	44
21	47
28	30
3	33
8	33
11	33
15	30
22	35
26	49
0	39
48	49
12	37
8	15
33	42
40	49
28	48
19	46
6	41
3	18
8	26
29	32
27	41
3	36
44	48
32	36
15	21
18	38
6	33
40	43
27	32
41	46
27	37
21	46
1	37
11	25
28	39
12	28
16	34
25	37
16	23
21	26
45	49
18	32
6	39
29	41
37	45
3	24
1	32
9	22
23	24
25	34
15	28
12	35
39	42
29	46
23	30
26	40
27	35
1	42
40	45
37	39
3	8
44	49
4	25
12	44
17	44
15	43
9	27
12	22
17	40
16	19
29	45
12	34
16	40
46	47
15	19
31	40
23	49
11	42
3	17
29	33
5	21
3	27
11	38
25	41
20	24
39	49
31	41
33	38
0	48
0	18
26	47
5	9
31	49
41	45
32	45
11	47
19	48
32	37
46	49
3	34
39	46
18	33
36	41
5	10
16	49
1	6
32	47
34	43
40	41
8	10
4	48
1	28
17	19
1	12
21	45
39	43
34	45
26	31
18	30
23	26
25	29
4	42
6	36
40	46
44	47
47	49
7	9
20	46
17	45
7	41
10	34
6	12
1	11
46	48
27	49
11	12
6	22
1	49
33	40
23	27
16	24
32	41
7	28
23	48
19	44
4	27
11	22
10	31
34	46
20	25
45	48
41	49
15	23
9	19
0	25
41	44
40	48
3	48
10	18
4	22
34	35
0	34
0	3
33	35
6	14
27	42
34	37
8	9
22	31
26	45
21	22
20	23
16	38
25	27
19	29
44	46
21	48
37	42
21	29
34	44
39	44
29	48
15	37
26	42
1	40
8	12
9	49
13	32
18	41
7	42
1	33
8	18
21	24
8	39
0	40
15	34
33	41
21	0
44	40
45	44
27	16
38	34
43	25
42	28
29	27
45	12
44	18
47	21
30	28
33	3
33	8
33	11
30	15
35	22
49	26
39	0
49	48
37	12
15	8
42	33
49	40
48	28
46	19
41	6
18	3
26	8
32	29
41	27
36	3
48	44
36	32
21	15
38	18
33	6
43	40
32	27
46	41
37	27
46	21
37	1
25	11
39	28
28	12
34	16
37	25
23	16
26	21
49	45
32	18
39	6
41	29
45	37
24	3
32	1
22	9
24	23
34	25
28	15
35	12
42	39
46	29
30	23
40	26
35	27
42	1
45	40
39	37
8	3
49	44
25	4
44	12
44	17
43	15
27	9
22	12
40	17
19	16
45	29
34	12
40	16
47	46
19	15
40	31
49	23
42	11
17	3
33	29
21	5
27	3
38	11
41	25
24	20
49	39
41	31
38	33
48	0
18	0
47	26
9	5
49	31
45	41
45	32
47	11
48	19
37	32
49	46
34	3
46	39
33	18
41	36
10	5
49	16
6	1
47	32
43	34
41	40
10	8
48	4
28	1
19	17
12	1
45	21
43	39
45	34
31	26
30	18
26	23
29	25
42	4
36	6
46	40
47	44
49	47
9	7
46	20
45	17
41	7
34	10
12	6
11	1
48	46
49	27
12	11
22	6
49	1
40	33
27	23
24	16
41	32
28	7
48	23
44	19
27	4
22	11
31	10
46	34
25	20
48	45
49	41
23	15
19	9
25	0
44	41
48	40
48	3
18	10
22	4
35	34
34	0
3	0
35	33
14	6
42	27
37	34
9	8
31	22
45	26
22	21
23	20
38	16
27	25
29	19
46	44
48	21
42	37
29	21
44	34
44	39
48	29
37	15
42	26
40	1
12	8
49	9
32	13
41	18
42	7
33	1
18	8
24	21
39	8
40	0
34	15
41	33
