0	12	9	556	386.296465051
1	4	9	527	408.754045848
2	14	7	610	545.929030852
3	15	6	904	15157.039883
4	17	3	604	4135.92074732
5	19	2	281	11927.5857203
6	7	4	953	565.877798121
7	0	7	30	27.2327642747
8	17	0	889	5962.67699291
9	7	5	158	140.946977251
10	5	0	700	5464.06648766
11	16	4	579	554.535802109
12	8	1	612	5289.09329169
13	19	0	995	49569.5060784
14	14	8	808	763.658940696
15	13	0	697	19194.1667325
16	13	9	299	8972.83678871
17	12	7	183	134.670992642
18	7	7	537	402.652962232
19	2	2	726	5758.88794638
20	13	8	835	18527.352619
21	10	6	60	49.7426930824
22	8	2	87	618.805881276
23	1	1	210	6320.03491117
24	5	3	509	6433.60145961
25	1	8	735	29897.9267755
26	8	7	385	2809.38692483
27	8	2	241	1266.51780483
28	2	4	168	2236.75786072
29	19	4	288	11661.0183617
30	19	7	733	32971.3111332
31	19	0	253	8604.95127214
32	9	9	667	23473.7749363
33	11	9	993	13954.6460827
34	4	3	779	476.124783585
35	6	7	85	1253.21135629
36	17	3	81	738.621819756
37	3	5	62	580.116151377
38	4	5	149	87.6714093127
39	13	5	355	7690.99712531
40	4	2	903	621.232654987
41	15	9	202	4175.5878268
42	2	3	341	2717.58664708
43	10	9	235	197.813885205
44	6	1	821	12503.0496691
45	4	6	356	199.680114301
46	15	8	59	1222.20661901
47	15	0	905	20512.1027136
48	5	1	497	4148.60417909
49	15	0	494	9057.44000286
50	11	8	547	6420.36378024
51	9	2	291	10869.446824
52	19	6	198	9481.40900704
53	15	1	56	1202.26498624
54	4	0	288	287.943484476
55	2	2	653	8934.72461984
56	16	3	877	474.45150623
57	10	5	632	591.335655917
58	7	6	406	311.170279526
59	13	1	280	7393.71910731
60	9	1	692	25927.1876785
61	17	0	620	3346.46769889
62	5	5	522	4958.88539053
63	13	7	917	16740.9079536
64	7	8	457	439.904000762
65	16	4	651	452.241569785
66	1	5	437	17188.5662559
67	9	0	399	11533.4844581
68	18	6	106	57.7056772611
69	5	3	629	6329.8407449
70	2	4	688	5830.34648026
71	16	0	438	312.037062797
72	2	7	745	10958.3102871
73	11	1	781	9876.32210511
74	11	8	319	3875.27626912
75	13	4	246	5607.42856639
76	17	3	561	5622.46510683
77	8	2	263	1242.57115242
78	11	0	852	12273.4391966
79	13	5	628	15384.0010748
80	1	3	732	36858.2486341
81	2	0	376	4173.98457758
82	8	3	229	2103.08218637
83	0	7	372	295.645178865
84	9	3	58	1463.6685598
85	17	0	584	4768.50103342
86	15	7	838	18380.9795184
87	11	6	439	3639.04986914
88	12	1	749	642.232182596
89	0	1	220	180.71873641
90	0	2	440	319.236974955
91	6	1	306	6160.58252424
92	9	0	31	1121.8181902
93	9	8	422	13627.4881613
94	12	0	673	466.490967824
95	13	5	848	20999.0447147
96	12	5	49	46.3893766699
97	18	2	89	63.9774461491
98	2	1	791	10849.0163446
99	10	1	615	512.583869632
